Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,9,9547.55,-1900.19,-141.802,1.09149,0.883691,-0.862565,2.03031e-05,-2.09516e-05,-1.57823e-05,0,0,0,0,0,0,9150.61,-1125.43,3521.81,0.984152,1.36284,-0.06102,0,0,0,0,0,0,0,0,0
1,10,9615.42,-1894.61,-163.908,1.49584,0.647625,-0.923301,2.02514e-05,-2.09257e-05,-1.57995e-05,0,0,0,0,0,0,9111.08,-1130.78,3515.34,1.10489,1.14653,-0.06102,0,0,0,0,0,0,0,0,0
1,11,9672.42,-1912.43,-186.399,1.73947,0.503215,-0.89941,2.01997e-05,-2.08998e-05,-1.58168e-05,0,0,0,0,0,0,9082.54,-1130.33,3507.58,1.14613,0.986056,-0.0633184,0,0,0,0,0,0,0,0,0
1,12,9707.68,-1977.06,-209.661,1.66167,0.542114,-0.706265,2.0148e-05,-2.0874e-05,-1.5834e-05,0,0,0,0,0,0,9075.99,-1118.28,3497.24,1.02838,0.937258,-0.0702136,0,0,0,0,0,0,0,0,0
1,13,9686.41,-1978.22,-217.659,1.51612,0.617846,-0.678866,2.00962e-05,-2.08481e-05,-1.58513e-05,0,0,0,0,0,0,9079.76,-1138.6,3494.42,0.939995,1.0038,-0.100557,0,0,0,0,0,0,0,0,0
1,14,9619.91,-1928.61,-213.447,1.31636,0.723044,-0.784064,2.00445e-05,-2.08223e-05,-1.58685e-05,0,0,0,0,0,0,9091.77,-1184.81,3497.6,0.875097,1.16262,-0.149659,0,0,0,0,0,0,0,0,0
1,15,9579.32,-1929.6,-196.842,1.21477,0.801788,-0.881326,1.99928e-05,-2.07964e-05,-1.58857e-05,0,0,0,0,0,0,9100.21,-1192.7,3521.35,1.06557,1.27289,-0.206177,0,0,0,0,0,0,0,0,0
1,16,9546.13,-1945.04,-176.696,1.14124,0.872975,-0.97632,1.99411e-05,-2.07705e-05,-1.5903e-05,0,0,0,0,0,0,9107.64,-1189.63,3550.98,1.32901,1.3693,-0.264813,0,0,0,0,0,0,0,0,0
1,17,9563.95,-1946.97,-175.57,1.07333,0.66066,-0.968033,1.98894e-05,-2.07447e-05,-1.59202e-05,0,0,0,0,0,0,9089.97,-1195.69,3527.25,1.27071,1.37554,-0.192386,0,0,0,0,0,0,0,0,0
1,18,9581.87,-1943.56,-177.055,1.05641,0.506576,-0.943832,1.98376e-05,-2.07188e-05,-1.59375e-05,0,0,0,0,0,0,9077.86,-1200.49,3507.77,1.18544,1.33602,-0.132805,0,0,0,0,0,0,0,0,0
1,19,9600.18,-1921.48,-187.679,1.21795,0.556298,-0.863929,1.97859e-05,-2.0693e-05,-1.59547e-05,0,0,0,0,0,0,9085.23,-1200.92,3503.11,1.00576,1.13631,-0.118184,0,0,0,0,0,0,0,0,0
2,0,9597.56,-1909.71,-194.894,1.27037,0.631254,-0.77971,1.97342e-05,-2.06671e-05,-1.59719e-05,0,0,0,0,0,0,9096.86,-1189.09,3498.08,0.824275,0.978725,-0.0406475,0,0,0,0,0,0,0,0,0
2,1,9568.75,-1910.83,-197.85,1.18639,0.737751,-0.690096,1.96825e-05,-2.06412e-05,-1.59892e-05,0,0,0,0,0,0,9113.81,-1161.93,3492.56,0.640522,0.873793,0.115535,0,0,0,0,0,0,0,0,0
2,2,9570.82,-1926.72,-188.323,1.26043,0.739236,-0.751631,1.96308e-05,-2.06154e-05,-1.60064e-05,0,0,0,0,0,0,9127.38,-1142.31,3495.66,0.72971,0.884466,0.18959,0,0,0,0,0,0,0,0,0
2,3,9588.34,-1950,-172.556,1.4135,0.688214,-0.888741,1.9579e-05,-2.05895e-05,-1.60237e-05,0,0,0,0,0,0,9139.26,-1126.45,3503.05,0.95537,0.952941,0.222582,0,0,0,0,0,0,0,0,0
2,4,9590.81,-1931.66,-177.934,1.34964,0.70107,-0.891772,1.9532e-05,-2.05637e-05,-1.60378e-05,0,0,0,0,0,0,9114.14,-1142.33,3507.23,1.15326,0.962459,0.0804122,0,0,0,0,0,0,0,0,0
2,5,9591.85,-1911.59,-181.726,1.26924,0.716573,-0.885615,1.94878e-05,-2.05378e-05,-1.605e-05,0,0,0,0,0,0,9085.61,-1158.16,3512.18,1.32012,0.971683,-0.0755306,0,0,0,0,0,0,0,0,0
2,6,9596.36,-1919.18,-151.676,1.27345,0.689361,-0.940038,1.94619e-05,-2.05119e-05,-1.605e-05,0,0,0,0,0,0,9066.85,-1141.77,3526.45,1.2664,1.03752,-0.166496,0,0,0,0,0,0,0,0,0
2,7,9593.12,-1918.99,-146.686,1.31728,0.674086,-0.970589,1.94361e-05,-2.04861e-05,-1.605e-05,0,0,0,0,0,0,9052.78,-1135.94,3535.71,1.2058,1.06658,-0.202443,0,0,0,0,0,0,0,0,0
2,8,9574.37,-1903.2,-191.814,1.44035,0.682682,-0.953396,1.94102e-05,-2.04602e-05,-1.605e-05,0,0,0,0,0,0,9048.09,-1151.2,3534.91,1.13142,1.02207,-0.128355,0,0,0,0,0,0,0,0,0
2,9,9579.18,-1888.85,-205.242,1.49769,0.685231,-0.922357,1.93844e-05,-2.04344e-05,-1.605e-05,0,0,0,0,0,0,9053.38,-1140.56,3538.38,1.13798,0.980763,-0.0218084,0,0,0,0,0,0,0,0,0
2,10,9602.82,-1875.63,-193.308,1.50245,0.682941,-0.880242,1.93585e-05,-2.04085e-05,-1.605e-05,0,0,0,0,0,0,9066.66,-1109.2,3545.26,1.2093,0.942021,0.110705,0,0,0,0,0,0,0,0,0
